# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=nif_pool.so 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=beam.smp 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu/cycles/P'
# Event count (approx.): 147839290519
#
# Overhead       Samples  Symbol                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ............  ......................................................................................................................................................................................  ....................
#
     0.03%            12  [.] erts_trace_check_exiting                                                                                                                                                            -      -            
     0.03%            11  [.] pthread_getspecific@plt                                                                                                                                                             -      -            
     0.03%            11  [.] handle_delayed_fix_dealloc                                                                                                                                                          -      -            
     0.03%            12  [.] enif_clear_env                                                                                                                                                                      -      -            
     0.03%            11  [.] make_ref_0                                                                                                                                                                          -      -            
     0.03%            11  [.] erts_thr_progress_prepare_wait                                                                                                                                                      -      -            
     0.03%             7  [.] load_code                                                                                                                                                                           -      -            
     0.03%            11  [.] erts_monitor_tree_insert                                                                                                                                                            -      -            
     0.03%            11  [.] erts_proc_sig_cleanup_queues                                                                                                                                                        -      -            
     0.03%            11  [.] esock_demonitor                                                                                                                                                                     -      -            
     0.03%            10  [.] erts_thr_progress_current                                                                                                                                                           -      -            
     0.03%            11  [.] esock_select_read                                                                                                                                                                   -      -            
     0.03%            10  [.] erts_queue_proc_message                                                                                                                                                             -      -            
     0.03%            10  [.] enif_make_copy                                                                                                                                                                      -      -            
     0.03%            11  [.] erts_internal_hash                                                                                                                                                                  -      -            
     0.03%            10  [.] term_to_binary_1                                                                                                                                                                    -      -            
     0.03%            10  [.] erl_drv_mutex_unlock                                                                                                                                                                -      -            
     0.03%            10  [.] erts_proc_sig_send_monitor                                                                                                                                                          -      -            
     0.03%            10  [.] enif_make_binary                                                                                                                                                                    -      -            
     0.03%            11  [.] erts_proc_sig_handle_exit                                                                                                                                                           -      -            
     0.03%            10  [.] ethr_mutex_lock                                                                                                                                                                     -      -            
     0.03%            10  [.] send_check_writer                                                                                                                                                                   -      -            
     0.02%             9  [.] erts_factory_close                                                                                                                                                                  -      -            
     0.02%             9  [.] erts_alcu_realloc_thr_pref                                                                                                                                                          -      -            
     0.02%             9  [.] esock_alloc_env                                                                                                                                                                     -      -            
     0.02%             9  [.] erts_cleanup_offheap                                                                                                                                                                -      -            
     0.02%             9  [.] enif_is_list                                                                                                                                                                        -      -            
     0.02%             9  [.] erts_sspa_process_remote_frees                                                                                                                                                      -      -            
     0.02%             9  [.] erts_get_monotonic_time                                                                                                                                                             -      -            
     0.02%             9  [.] spawn_3                                                                                                                                                                             -      -            
     0.02%             9  [.] recv_check_fail                                                                                                                                                                     -      -            
     0.02%             9  [.] copy_shallow_x                                                                                                                                                                      -      -            
     0.02%             9  [.] erts_set_gc_state.part.0                                                                                                                                                            -      -            
     0.02%             9  [.] erts_send_message                                                                                                                                                                   -      -            
     0.02%             9  [.] erts_monitor_destroy__                                                                                                                                                              -      -            
     0.02%             9  [.] enc_atom                                                                                                                                                                            -      -            
     0.02%             8  [.] erts_proc_sig_send_demonitor                                                                                                                                                        -      -            
     0.02%             8  [.] erts_thr_progress_later                                                                                                                                                             -      -            
     0.02%             8  [.] enif_alloc_env                                                                                                                                                                      -      -            
     0.02%             8  [.] erts_set_proc_timer_term                                                                                                                                                            -      -            
     0.02%             8  [.] free_message_buffer                                                                                                                                                                 -      -            
     0.02%             8  [.] erts_msgq_recv_marker_bind                                                                                                                                                          -      -            
     0.02%             8  [.] erts_code_ix_finalize_wait                                                                                                                                                          -      -            
     0.02%             8  [.] lists_member_2                                                                                                                                                                      -      -            
     0.02%             8  [.] iolist_to_binary_1                                                                                                                                                                  -      -            
     0.02%             8  [.] erts_post_nif                                                                                                                                                                       -      -            
     0.02%             8  [.] erts_gc_after_bif_call_lhf                                                                                                                                                          -      -            
     0.02%             7  [.] erts_proc_sig_move_msgs_to_heap                                                                                                                                                     -      -            
     0.02%             7  [.] erts_garbage_collect_nobump                                                                                                                                                         -      -            
     0.02%             7  [.] erts_pin_writable_binary                                                                                                                                                            -      -            
     0.02%             7  [.] enif_get_uint                                                                                                                                                                       -      -            
     0.02%             7  [.] os_system_time_1                                                                                                                                                                    -      -            
     0.02%             7  [.] erts_check_io_interrupt                                                                                                                                                             -      -            
     0.02%             7  [.] recv_check_entry                                                                                                                                                                    -      -            
     0.02%             7  [.] unlink_free_block                                                                                                                                                                   -      -            
     0.02%             7  [.] delete_all_trace_refs                                                                                                                                                               -      -            
     0.02%             7  [.] send_2                                                                                                                                                                              -      -            
     0.02%             6  [.] beamcodereader_read_next                                                                                                                                                            -      -            
     0.02%             6  [.] cancel_tw_timer                                                                                                                                                                     -      -            
